symbol,report_date,net_sales,pat,eps,market_type,net_sales_hi,pat_hi,eps_hi,all_hi,avail_date,source,eps_reported,split_factor,eps_adj,all_hi_pos
3MINDIA,2016-03-31,561.97,64.31,51.85,Mid Cap,True,True,True,True,2016-05-30,historical,51.85,1.0,51.85,True
3MINDIA,2016-06-30,597.25,59.720000000000006,53.02,Mid Cap,True,False,True,False,2016-08-29,historical,53.02,1.0,53.02,False
3MINDIA,2016-09-30,565.5899999999999,48.21,42.79,Mid Cap,False,False,False,False,2016-11-29,historical,42.79,1.0,42.79,False
3MINDIA,2016-12-31,576.23,42.43,37.67,Mid Cap,False,False,False,False,2017-03-01,historical,37.67,1.0,37.67,False
3MINDIA,2017-03-31,623.9,90.39,80.24,Mid Cap,True,True,True,True,2017-05-30,historical,80.24,1.0,80.24,True
3MINDIA,2017-06-30,664.3399999999999,66.09,58.66,Mid Cap,True,False,False,False,2017-08-29,historical,58.66,1.0,58.66,False
3MINDIA,2017-09-30,567.35,59.69,52.99,Mid Cap,False,False,False,False,2017-11-29,historical,52.99,1.0,52.99,False
3MINDIA,2017-12-31,683.0600000000001,91.59,83.51,Mid Cap,True,True,True,True,2018-03-01,historical,83.51,1.0,83.51,True
3MINDIA,2018-03-31,720.4300000000001,97.25,86.7,Mid Cap,True,True,True,True,2018-05-30,historical,86.7,1.0,86.7,True
3MINDIA,2018-06-30,746.0,102.34,90.85,Mid Cap,True,True,True,True,2018-08-29,historical,90.85,1.0,90.85,True
3MINDIA,2018-09-30,736.42,70.28999999999999,62.39,Mid Cap,False,False,False,False,2018-11-29,historical,62.39,1.0,62.39,False
3MINDIA,2018-12-31,791.55,110.19,97.82,Mid Cap,True,True,True,True,2019-03-01,historical,97.82,1.0,97.82,True
3MINDIA,2019-03-31,742.85,60.32000000000001,53.54,Mid Cap,False,False,False,False,2019-05-30,historical,53.54,1.0,53.54,False
3MINDIA,2019-06-30,804.5,90.13,80.01,Mid Cap,True,False,False,False,2019-08-29,historical,80.01,1.0,80.01,False
3MINDIA,2019-09-30,763.53,100.01,88.78,Mid Cap,False,False,False,False,2019-11-29,historical,88.78,1.0,88.78,False
3MINDIA,2019-12-31,745.38,71.92,63.84,Mid Cap,False,False,False,False,2020-02-29,historical,63.84,1.0,63.84,False
3MINDIA,2020-03-31,673.15,60.11,53.36,Mid Cap,False,False,False,False,2020-05-30,historical,53.36,1.0,53.36,False
3MINDIA,2020-06-30,346.18,-42.52,-37.74,Mid Cap,False,False,False,False,2020-08-29,historical,-37.74,1.0,-37.74,False
3MINDIA,2020-09-30,690.0,75.03999999999999,66.61,Mid Cap,False,False,False,False,2020-11-29,historical,66.61,1.0,66.61,False
3MINDIA,2020-12-31,741.4399999999999,59.39,52.72,Mid Cap,False,False,False,False,2021-03-01,historical,52.72,1.0,52.72,False
3MINDIA,2021-03-31,827.21,70.47,62.56,Mid Cap,True,False,False,False,2021-05-30,historical,62.56,1.0,62.56,False
3MINDIA,2021-06-30,743.87,30.1,26.72,Mid Cap,False,False,False,False,2021-08-29,historical,26.72,1.0,26.72,False
3MINDIA,2021-09-30,840.1,64.22,57.0,Mid Cap,True,False,False,False,2021-11-29,historical,57.0,1.0,57.0,False
3MINDIA,2021-12-31,826.28,66.74,59.25,Mid Cap,False,False,False,False,2022-03-01,historical,59.25,1.0,59.25,False
3MINDIA,2022-03-31,925.59,110.92,98.46,Mid Cap,True,True,True,True,2022-05-30,historical,98.46,1.0,98.46,True
3MINDIA,2022-06-30,943.6,84.26,74.8,Mid Cap,True,False,False,False,2022-08-29,historical,74.8,1.0,74.8,False
3MINDIA,2022-09-30,976.7,106.23,94.3,Mid Cap,True,False,False,False,2022-11-29,historical,94.3,1.0,94.3,False
3MINDIA,2022-12-31,993.03,124.81,110.79,Mid Cap,True,True,True,True,2023-03-01,historical,110.79,1.0,110.79,True
3MINDIA,2023-03-31,1046.04,135.72,120.48,Mid Cap,True,True,True,True,2023-05-30,historical,120.48,1.0,120.48,True
3MINDIA,2023-06-30,1049.66,129.20999999999998,114.7,Mid Cap,True,False,False,False,2023-08-29,historical,114.7,1.0,114.7,False
3MINDIA,2023-09-30,1039.52,146.11,129.71,Mid Cap,False,True,True,False,2023-11-29,historical,129.71,1.0,129.71,False
3MINDIA,2023-12-31,1005.64,135.24,120.05,Mid Cap,False,False,False,False,2024-02-29,historical,120.05,1.0,120.05,False
3MINDIA,2024-03-31,1094.55,172.85,153.44,Mid Cap,True,True,True,True,2024-05-30,historical,153.44,1.0,153.44,True
3MINDIA,2024-06-30,1046.5700000000002,157.15,139.5,Mid Cap,False,False,False,False,2024-08-29,historical,139.5,1.0,139.5,False
3MINDIA,2024-09-30,1110.8,133.78,118.76,Mid Cap,True,False,False,False,2024-11-29,historical,118.76,1.0,118.76,False
3MINDIA,2024-12-31,1089.95,113.77,100.99,Mid Cap,False,False,False,False,2025-03-01,historical,100.99,1.0,100.99,False
3MINDIA,2025-03-31,1198.23,71.37,63.35,Mid Cap,True,False,False,False,2025-05-30,historical,63.35,1.0,63.35,False
3MINDIA,2025-06-30,1195.97,177.69,157.73,Mid Cap,False,True,True,False,2025-08-29,historical,157.73,1.0,157.73,False
3MINDIA,2025-09-30,1266.49,191.34,169.85,Mid Cap,True,True,True,True,2025-11-29,historical,169.85,1.0,169.85,True
3MINDIA,2025-12-31,1228.05,-62.05,-55.09,Mid Cap,False,False,False,False,2026-03-01,historical,-55.09,1.0,-55.09,False
3MINDIA,2026-03-31,1399.24,215.34,191.16,Mid Cap,True,True,True,True,2026-05-30,historical,191.16,1.0,191.16,True
AADHARHFC,2020-06-30,352.71,63.79,,Small Cap,False,False,False,False,2020-08-29,historical,,1.0,,False
AADHARHFC,2020-09-30,385.99,92.54,2.28,Small Cap,False,False,False,False,2020-11-29,historical,2.28,1.0,2.28,False
AADHARHFC,2020-12-31,406.36,90.62,2.23,Small Cap,False,False,False,False,2021-03-01,historical,2.23,1.0,2.23,False
AADHARHFC,2021-03-31,404.66,93.02,2.36,Small Cap,False,False,False,False,2021-05-30,historical,2.36,1.0,2.36,False
AADHARHFC,2021-06-30,405.02,91.89,2.26,Small Cap,False,False,False,False,2021-08-29,historical,2.26,1.0,2.26,False
AADHARHFC,2021-09-30,418.12,118.99,2.93,Small Cap,False,False,False,False,2021-11-29,historical,2.93,1.0,2.93,False
AADHARHFC,2021-12-31,429.17,118.8,2.91,Small Cap,False,False,False,False,2022-03-01,historical,2.91,1.0,2.91,False
AADHARHFC,2022-03-31,440.3,114.97,2.82,Small Cap,False,False,False,False,2022-05-30,historical,2.82,1.0,2.82,False
AADHARHFC,2022-06-30,445.96,115.75,2.84,Small Cap,True,False,False,False,2022-08-29,historical,2.84,1.0,2.84,False
AADHARHFC,2022-09-30,484.28,129.7,3.19,Small Cap,True,True,True,True,2022-11-29,historical,3.19,1.0,3.19,True
AADHARHFC,2022-12-31,525.6800000000001,158.52,3.9,Small Cap,True,True,True,True,2023-03-01,historical,3.9,1.0,3.9,True
AADHARHFC,2023-03-31,555.4300000000001,140.7,3.46,Small Cap,True,False,False,False,2023-05-30,historical,3.46,1.0,3.46,False
AADHARHFC,2023-06-30,593.42,146.31,3.6,Small Cap,True,False,False,False,2023-08-29,historical,3.6,1.0,3.6,False
AADHARHFC,2023-09-30,628.55,197.3,4.85,Small Cap,True,True,True,True,2023-11-29,historical,4.85,1.0,4.85,True
AADHARHFC,2023-12-31,673.05,204.27,5.01,Small Cap,True,True,True,True,2024-02-29,historical,5.01,1.0,5.01,True
AADHARHFC,2024-03-31,691.8,201.76,4.89,Small Cap,True,False,False,False,2024-05-30,historical,4.89,1.0,4.89,False
AADHARHFC,2024-06-30,713.14,200.14,4.66,Small Cap,True,False,False,False,2024-08-29,historical,4.66,1.0,4.66,False
AADHARHFC,2024-09-30,764.27,227.51,5.16,Small Cap,True,True,True,True,2024-11-29,historical,5.16,1.0,5.16,True
AADHARHFC,2024-12-31,797.61,239.34,5.42,Small Cap,True,True,True,True,2025-03-01,historical,5.42,1.0,5.42,True
AADHARHFC,2025-03-31,832.61,244.84,5.55,Small Cap,True,True,True,True,2025-05-30,historical,5.55,1.0,5.55,True
AADHARHFC,2025-06-30,848.18,237.28000000000003,5.37,Small Cap,True,False,False,False,2025-08-29,historical,5.37,1.0,5.37,False
AADHARHFC,2025-09-30,897.1299999999999,266.47,6.03,Small Cap,True,True,True,True,2025-11-29,historical,6.03,1.0,6.03,True
AADHARHFC,2025-12-31,942.71,281.21,6.36,Small Cap,True,True,True,True,2026-03-01,historical,6.36,1.0,6.36,True
AADHARHFC,2026-03-31,984.56,310.92,7.01,Small Cap,True,True,True,True,2026-05-30,historical,7.01,1.0,7.01,True
AADHARHFC,2026-06-30,993.0,282.0,6.46,Small Cap,True,False,False,False,2026-08-11,live_scrape,6.46,1.0,6.46,False
AARTIDRUGS,2010-03-31,126.92,7.229999999999999,1.4925,Micro Cap,False,False,False,False,2010-05-30,historical,5.97,4.0,1.4925,False
AARTIDRUGS,2010-06-30,118.18,5.98,1.235,Micro Cap,False,False,False,False,2010-08-29,historical,4.94,4.0,1.235,False
AARTIDRUGS,2010-09-30,108.39,5.18,1.07,Micro Cap,False,False,False,False,2010-11-29,historical,4.28,4.0,1.07,False
AARTIDRUGS,2010-12-31,136.04000000000002,5.0200000000000005,1.035,Micro Cap,False,False,False,False,2011-03-01,historical,4.14,4.0,1.035,False
AARTIDRUGS,2011-03-31,143.35,6.29,1.2975,Micro Cap,True,False,False,False,2011-05-30,historical,5.19,4.0,1.2975,False
AARTIDRUGS,2011-06-30,148.12,4.62,0.9525,Micro Cap,True,False,False,False,2011-08-29,historical,3.81,4.0,0.9525,False
AARTIDRUGS,2011-09-30,144.52,4.93,1.0175,Micro Cap,False,False,False,False,2011-11-29,historical,4.07,4.0,1.0175,False
AARTIDRUGS,2011-12-31,155.12,4.8100000000000005,0.9925,Micro Cap,True,False,False,False,2012-02-29,historical,3.97,4.0,0.9925,False
AARTIDRUGS,2012-03-31,202.11,7.409999999999999,1.5275,Micro Cap,True,True,True,True,2012-05-30,historical,6.11,4.0,1.5275,True
AARTIDRUGS,2012-06-30,189.95,8.879999999999999,1.8325,Micro Cap,False,True,True,False,2012-08-29,historical,7.33,4.0,1.8325,False
AARTIDRUGS,2012-09-30,216.39,11.62,2.3975,Micro Cap,True,True,True,True,2012-11-29,historical,9.59,4.0,2.3975,True
AARTIDRUGS,2012-12-31,199.14,10.94,2.26,Micro Cap,False,False,False,False,2013-03-01,historical,9.04,4.0,2.26,False
AARTIDRUGS,2013-03-31,220.36,13.81,2.85,Micro Cap,True,True,True,True,2013-05-30,historical,11.4,4.0,2.85,True
AARTIDRUGS,2013-06-30,218.64,11.84,2.445,Micro Cap,False,False,False,False,2013-08-29,historical,9.78,4.0,2.445,False
AARTIDRUGS,2013-09-30,247.95,13.76,2.84,Micro Cap,True,False,False,False,2013-11-29,historical,11.36,4.0,2.84,False
AARTIDRUGS,2013-12-31,222.16,14.16,2.9225,Micro Cap,False,True,True,False,2014-03-01,historical,11.69,4.0,2.9225,False
AARTIDRUGS,2014-03-31,283.04,21.95,2.2675,Micro Cap,True,True,False,False,2014-05-30,historical,9.07,4.0,2.2675,False
AARTIDRUGS,2014-06-30,259.7,17.240000000000002,1.78,Micro Cap,False,False,False,False,2014-08-29,historical,7.12,4.0,1.78,False
AARTIDRUGS,2014-09-30,286.27,18.75,1.935,Micro Cap,True,False,False,False,2014-11-29,historical,7.74,4.0,1.935,False
AARTIDRUGS,2014-12-31,261.08000000000004,22.75,2.35,Micro Cap,False,True,False,False,2015-03-01,historical,9.4,4.0,2.35,False
AARTIDRUGS,2015-03-31,278.37,18.86,1.9475,Micro Cap,False,False,False,False,2015-05-30,historical,7.79,4.0,1.9475,False
AARTIDRUGS,2015-06-30,283.73,17.39,1.795,Micro Cap,False,False,False,False,2015-08-29,historical,7.18,4.0,1.795,False
AARTIDRUGS,2015-09-30,272.84000000000003,15.71,1.6225,Micro Cap,False,False,False,False,2015-11-29,historical,6.49,4.0,1.6225,False
AARTIDRUGS,2015-12-31,268.67,17.03,1.7575,Micro Cap,False,False,False,False,2016-02-29,historical,7.03,4.0,1.7575,False
AARTIDRUGS,2016-03-31,314.61,18.59,1.92,Micro Cap,True,False,False,False,2016-05-30,historical,7.68,4.0,1.92,False
AARTIDRUGS,2016-06-30,291.5,19.880000000000003,2.0525,Micro Cap,False,True,True,False,2016-08-29,historical,8.21,4.0,2.0525,False
AARTIDRUGS,2016-09-30,315.12,22.07,2.2775,Micro Cap,True,True,True,True,2016-11-29,historical,9.11,4.0,2.2775,True
AARTIDRUGS,2016-12-31,289.66,17.85,1.89,Micro Cap,False,False,False,False,2017-03-01,historical,7.56,4.0,1.89,False
AARTIDRUGS,2017-03-31,298.9,21.97,2.1725,Micro Cap,False,False,False,False,2017-05-30,historical,8.69,4.0,2.1725,False
AARTIDRUGS,2017-06-30,258.26,11.38,1.1925,Micro Cap,False,False,False,False,2017-08-29,historical,4.77,4.0,1.1925,False
AARTIDRUGS,2017-09-30,319.27,23.6,2.4725,Micro Cap,True,True,True,True,2017-11-29,historical,9.89,4.0,2.4725,True
AARTIDRUGS,2017-12-31,335.41,23.33,2.445,Micro Cap,True,False,False,False,2018-03-01,historical,9.78,4.0,2.445,False
AARTIDRUGS,2018-03-31,330.69,23.99,2.4925,Micro Cap,False,True,True,False,2018-05-30,historical,9.97,4.0,2.4925,False
AARTIDRUGS,2018-06-30,374.29,23.37,2.455,Micro Cap,True,False,False,False,2018-08-29,historical,9.82,4.0,2.455,False
AARTIDRUGS,2018-09-30,347.41,18.05,1.9125,Micro Cap,False,False,False,False,2018-11-29,historical,7.65,4.0,1.9125,False
AARTIDRUGS,2018-12-31,380.11,20.89,2.215,Micro Cap,True,False,False,False,2019-03-01,historical,8.86,4.0,2.215,False
AARTIDRUGS,2019-03-31,459.14,27.44,3.015,Micro Cap,True,True,True,True,2019-05-30,historical,12.06,4.0,3.015,True
AARTIDRUGS,2019-06-30,405.43,22.45,2.39,Micro Cap,False,False,False,False,2019-08-29,historical,9.56,4.0,2.39,False
AARTIDRUGS,2019-09-30,477.5,32.31,3.4675,Micro Cap,True,True,True,True,2019-11-29,historical,13.87,4.0,3.4675,True
AARTIDRUGS,2019-12-31,473.5100000000001,27.78,0.745,Micro Cap,False,False,False,False,2020-02-29,historical,2.98,4.0,0.745,False
AARTIDRUGS,2020-03-31,449.64,58.86,1.58,Micro Cap,False,True,False,False,2020-05-30,historical,6.32,4.0,1.58,False
AARTIDRUGS,2020-06-30,544.67,85.45,2.2925,Micro Cap,True,True,False,False,2020-08-29,historical,9.17,4.0,2.2925,False
AARTIDRUGS,2020-09-30,578.11,75.27000000000001,8.08,Micro Cap,True,False,False,False,2020-11-29,historical,8.08,1.0,8.08,False
AARTIDRUGS,2020-12-31,530.25,68.03,7.3,Micro Cap,False,False,False,False,2021-03-01,historical,7.3,1.0,7.3,False
AARTIDRUGS,2021-03-31,501.75,51.64,5.54,Micro Cap,False,False,False,False,2021-05-30,historical,5.54,1.0,5.54,False
AARTIDRUGS,2021-06-30,579.95,48.81,5.25,Micro Cap,True,False,False,False,2021-08-29,historical,5.25,1.0,5.25,False
AARTIDRUGS,2021-09-30,579.62,42.58,4.6,Micro Cap,False,False,False,False,2021-11-29,historical,4.6,1.0,4.6,False
AARTIDRUGS,2021-12-31,634.8,58.28,6.29,Micro Cap,True,False,False,False,2022-03-01,historical,6.29,1.0,6.29,False
AARTIDRUGS,2022-03-31,694.27,55.32000000000001,5.97,Micro Cap,True,False,False,False,2022-05-30,historical,5.97,1.0,5.97,False
AARTIDRUGS,2022-06-30,621.96,34.78,3.76,Micro Cap,False,False,False,False,2022-08-29,historical,3.76,1.0,3.76,False
AARTIDRUGS,2022-09-30,687.72,38.74,4.18,Micro Cap,False,False,False,False,2022-11-29,historical,4.18,1.0,4.18,False
AARTIDRUGS,2022-12-31,663.96,36.66,3.96,Micro Cap,False,False,False,False,2023-03-01,historical,3.96,1.0,3.96,False
AARTIDRUGS,2023-03-31,742.4100000000001,56.17999999999999,6.07,Micro Cap,True,True,True,True,2023-05-30,historical,6.07,1.0,6.07,True
AARTIDRUGS,2023-06-30,661.11,47.97,5.18,Micro Cap,False,False,False,False,2023-08-29,historical,5.18,1.0,5.18,False
AARTIDRUGS,2023-09-30,641.54,39.6,4.29,Micro Cap,False,False,False,False,2023-11-29,historical,4.29,1.0,4.29,False
AARTIDRUGS,2023-12-31,605.9399999999999,36.71,3.99,Micro Cap,False,False,False,False,2024-02-29,historical,3.99,1.0,3.99,False
AARTIDRUGS,2024-03-31,619.99,47.31,5.15,Micro Cap,False,False,False,False,2024-05-30,historical,5.15,1.0,5.15,False
AARTIDRUGS,2024-06-30,555.3399999999999,33.27,3.62,Micro Cap,False,False,False,False,2024-08-29,historical,3.62,1.0,3.62,False
AARTIDRUGS,2024-09-30,598.33,34.96,3.83,Micro Cap,False,False,False,False,2024-11-29,historical,3.83,1.0,3.83,False
AARTIDRUGS,2024-12-31,556.6,37.1,4.06,Micro Cap,False,False,False,False,2025-03-01,historical,4.06,1.0,4.06,False
AARTIDRUGS,2025-03-31,676.76,62.77,6.88,Micro Cap,True,True,True,True,2025-05-30,historical,6.88,1.0,6.88,True
AARTIDRUGS,2025-06-30,590.51,53.970000000000006,5.91,Micro Cap,False,False,False,False,2025-08-29,historical,5.91,1.0,5.91,False
AARTIDRUGS,2025-09-30,652.79,45.16,4.95,Micro Cap,False,False,False,False,2025-11-29,historical,4.95,1.0,4.95,False
AARTIDRUGS,2025-12-31,601.71,40.55,4.44,Micro Cap,False,False,False,False,2026-03-01,historical,4.44,1.0,4.44,False
AARTIDRUGS,2026-03-31,720.3,55.260000000000005,6.05,Micro Cap,True,False,False,False,2026-05-30,historical,6.05,1.0,6.05,False
AARTIDRUGS,2026-06-30,703.0,50.0,5.5,Micro Cap,False,False,False,False,2026-08-11,live_scrape,5.5,1.0,5.5,False
AARTIIND,2010-03-31,356.7,16.869999999999997,0.55,Small Cap,False,False,False,False,2010-05-30,historical,2.2,4.0,0.55,False
AARTIIND,2010-06-30,358.53000000000003,20.03,0.6525,Small Cap,False,False,False,False,2010-08-29,historical,2.61,4.0,0.6525,False
AARTIIND,2010-09-30,325.93,11.27,0.3675,Small Cap,False,False,False,False,2010-11-29,historical,1.47,4.0,0.3675,False
AARTIIND,2010-12-31,333.43,13.19,0.43,Small Cap,False,False,False,False,2011-03-01,historical,1.72,4.0,0.43,False
AARTIIND,2011-03-31,435.44,22.28,0.725,Small Cap,False,False,False,False,2011-05-30,historical,2.9,4.0,0.725,False
AARTIIND,2011-06-30,389.56,18.07,0.59,Small Cap,False,False,False,False,2011-08-29,historical,2.36,4.0,0.59,False
AARTIIND,2011-09-30,398.97,17.869999999999997,0.5825,Small Cap,False,False,False,False,2011-11-29,historical,2.33,4.0,0.5825,False
AARTIIND,2011-12-31,418.0100000000001,23.01,0.75,Small Cap,False,False,False,False,2012-02-29,historical,3.0,4.0,0.75,False
AARTIIND,2012-03-31,466.77,28.24,0.92,Small Cap,True,True,True,True,2012-05-30,historical,3.68,4.0,0.92,True
AARTIIND,2012-06-30,448.89,25.04,0.79,Small Cap,False,False,False,False,2012-08-29,historical,3.16,4.0,0.79,False
AARTIIND,2012-09-30,469.62,28.26,0.8925,Small Cap,True,True,False,False,2012-11-29,historical,3.57,4.0,0.8925,False
AARTIIND,2012-12-31,459.36,21.82,0.69,Small Cap,False,False,False,False,2013-03-01,historical,2.76,4.0,0.69,False
AARTIIND,2013-03-31,594.72,38.55,1.0875,Small Cap,True,True,True,True,2013-05-30,historical,4.35,4.0,1.0875,True
AARTIIND,2013-06-30,593.64,22.53,0.635,Small Cap,False,False,False,False,2013-08-29,historical,2.54,4.0,0.635,False
AARTIIND,2013-09-30,645.35,42.35,1.195,Small Cap,True,True,True,True,2013-11-29,historical,4.78,4.0,1.195,True
AARTIIND,2013-12-31,649.64,36.97,1.0425,Small Cap,True,False,False,False,2014-03-01,historical,4.17,4.0,1.0425,False
AARTIIND,2014-03-31,744.14,46.84,1.3225,Small Cap,True,True,True,True,2014-05-30,historical,5.29,4.0,1.3225,True
