company,market_type,symbol,bse_code,bse_id
Vedanta Ltd.,Large Cap,VEDL,500295,VEDL
V-Guard Industries Ltd.,Micro Cap,VGUARD,532953,VGUARD
Vijaya Diagnostic Centre Ltd.,Small Cap,VIJAYA,543350,VIJAYA
Vikram Solar Ltd.,Micro Cap,VIKRAMSOLR,544488,VIKRAMSOLR
Vishal Mega Mart Ltd.,Mid Cap,VMM,544307,VMM
Viyash Scientific Ltd.,Micro Cap,VIYASH,512529,VIYASH
V-Mart Retail Ltd.,Micro Cap,VMART,534976,VMART
Vodafone Idea Ltd.,Mid Cap,IDEA,532822,IDEA
Voltamp Transformers Ltd.,Micro Cap,VOLTAMP,532757,VOLTAMP
Voltas Ltd.,Mid Cap,VOLTAS,500575,VOLTAS
Waaree Energies Ltd.,Mid Cap,WAAREEENER,544277,WAAREEENER
Waaree Renewable Technologies Ltd.,Micro Cap,WAAREERTL,534618,WAAREERTL
Wakefit Innovations Ltd.,Micro Cap,WAKEFIT,544642,WAKEFIT
Websol Energy System Ltd.,Micro Cap,WEBELSOLAR,517498,WEBELSOLAR
Welspun Corp Ltd.,Small Cap,WELCORP,532144,WELCORP
Welspun Enterprises Ltd.,Micro Cap,WELENT,532553,WELENT
Welspun Living Ltd.,Small Cap,WELSPUNLIV,514162,WELSPUNLIV
Westlife Foodworld Ltd.,Micro Cap,WESTLIFE,505533,WESTLIFE
Wework India Mgmt. Ltd.,Micro Cap,WEWORK,544570,WEWORK
Whirlpool Of India Ltd.,Small Cap,WHIRLPOOL,500238,WHIRLPOOL
Wipro Ltd.,Large Cap,WIPRO,507685,WIPRO
Wockhardt Ltd.,Small Cap,WOCKPHARMA,532300,WOCKPHARMA
Yatharth Hospital & Trauma Care Services Ltd.,Micro Cap,YATHARTH,543950,YATHARTH
Yes Bank Ltd.,Mid Cap,YESBANK,532648,YESBANK
Z F Commercial Vehicle Control Systems India Ltd.,Small Cap,ZFCVINDIA,533023,ZFCVINDIA
Zaggle Prepaid Ocean Services Ltd.,Micro Cap,ZAGGLE,543985,ZAGGLE
Zee Entertainment Enterprises Ltd.,Small Cap,ZEEL,505537,ZEEL
Zen Technologies Ltd.,Small Cap,ZENTEC,533339,ZENTEC
Zensar Technologies Ltd.,Small Cap,ZENSARTECH,504067,ZENSARTECH
Zydus Lifesciences Ltd.,Large Cap,ZYDUSLIFE,532321,ZYDUSLIFE
Zydus Wellness Ltd.,Small Cap,ZYDUSWELL,531335,ZYDUSWELL
