company,market_type,symbol,bse_code,bse_id
Authum Investment & Infrastructure Ltd.,Mid Cap,AIIL,539177,AIIL
Avalon Technologies Ltd.,Micro Cap,AVALON,543896,AVALON
Avanti Feeds Ltd.,Micro Cap,AVANTIFEED,512573,AVANTIFEED
Avenue Supermarts Ltd.,Large Cap,DMART,540376,DMART
Avenuesai Ltd.,Micro Cap,CCAVENUE,539807,CCAVENUE
Awfis Space Solutions Ltd.,Micro Cap,AWFIS,544181,AWFIS
Axis Bank Ltd.,Large Cap,AXISBANK,532215,AXISBANK
Axiscades Technologies Ltd.,Micro Cap,AXISCADES,532395,AXISCADES
Azad Engineering Ltd.,Micro Cap,AZAD,544061,AZAD
B E M L Ltd.,Small Cap,BEML,500048,BEML
B L S International Services Ltd.,Small Cap,BLS,540073,BLS
B S E Ltd.,Mid Cap,BSE,,
Bajaj Auto Ltd.,Large Cap,BAJAJ-AUTO,532977,BAJAJ-AUTO
Bajaj Electricals Ltd.,Micro Cap,BAJAJELEC,500031,BAJAJELEC
Bajaj Finance Ltd.,Large Cap,BAJFINANCE,500034,BAJFINANCE
Bajaj Finserv Ltd.,Large Cap,BAJAJFINSV,532978,BAJAJFINSV
Bajaj Holdings & Invst. Ltd.,Large Cap,BAJAJHLDNG,500490,BAJAJHLDNG
Bajaj Housing Finance Ltd.,Mid Cap,BAJAJHFL,544252,BAJAJHFL
Balaji Amines Ltd.,Micro Cap,BALAMINES,530999,BALAMINES
Balkrishna Industries Ltd.,Mid Cap,BALKRISIND,502355,BALKRISIND
Balrampur Chini Mills Ltd.,Small Cap,BALRAMCHIN,500038,BALRAMCHIN
Balu Forge Inds. Ltd.,Micro Cap,BALUFORGE,531112,BALUFORGE
Banco Products (India) Ltd.,Micro Cap,BANCOINDIA,500039,BANCOINDIA
Bandhan Bank Ltd.,Small Cap,BANDHANBNK,541153,BANDHANBNK
Bank Of Baroda,Large Cap,BANKBARODA,532134,BANKBARODA
Bank Of India,Mid Cap,BANKINDIA,532149,BANKINDIA
Bank Of Maharashtra,Mid Cap,MAHABANK,532525,MAHABANK
Bata India Ltd.,Small Cap,BATAINDIA,500043,BATAINDIA
Bayer Cropscience Ltd.,Small Cap,BAYERCROP,506285,BAYERCROP
Belrise Industries Ltd.,Small Cap,BELRISE,544405,BELRISE
Berger Paints India Ltd.,Mid Cap,BERGEPAINT,509480,BERGEPAINT
Bharat Dynamics Ltd.,Mid Cap,BDL,541143,BDL
Bharat Electronics Ltd.,Large Cap,BEL,500049,BEL
Bharat Forge Ltd.,Mid Cap,BHARATFORG,500493,BHARATFORG
Bharat Heavy Electricals Ltd.,Mid Cap,BHEL,500103,BHEL
Bharat Petroleum Corpn. Ltd.,Large Cap,BPCL,500547,BPCL
Bharti Airtel Ltd.,Large Cap,BHARTIARTL,532454,BHARTIARTL
Bharti Hexacom Ltd.,Mid Cap,BHARTIHEXA,544162,BHARTIHEXA
Bikaji Foods Intl. Ltd.,Small Cap,BIKAJI,543653,BIKAJI
Billionbrains Garage Ventures Ltd.,Mid Cap,GROWW,544603,GROWW
Biocon Ltd.,Mid Cap,BIOCON,532523,BIOCON
Birla Corporation Ltd.,Micro Cap,BIRLACORPN,500335,BIRLACORPN
Birlasoft Ltd.,Small Cap,BSOFT,532400,BSOFT
Black Box Ltd.,Micro Cap,BBOX,500463,BBOX
Blackbuck Ltd.,Micro Cap,BLACKBUCK,544288,BLACKBUCK
Blue Dart Express Ltd.,Small Cap,BLUEDART,526612,BLUEDART
Blue Jet Healthcare Ltd.,Small Cap,BLUEJET,544009,BLUEJET
Blue Star Ltd.,Mid Cap,BLUESTARCO,500067,BLUESTARCO
Bluestone Jewellery & Lifestyle Ltd.,Micro Cap,BLUESTONE,544484,BLUESTONE
Bombay Burmah Trdg. Corpn. Ltd.,Small Cap,BBTC,501425,BBTC
Borosil Renewables Ltd.,Micro Cap,BORORENEW,502219,BORORENEW
Bosch Ltd.,Large Cap,BOSCHLTD,500530,BOSCHLTD
Brainbees Solutions Ltd.,Small Cap,FIRSTCRY,544226,FIRSTCRY
Brigade Enterprises Ltd.,Small Cap,BRIGADE,532929,BRIGADE
Britannia Industries Ltd.,Large Cap,BRITANNIA,500825,BRITANNIA
C C L Products (India) Ltd.,Small Cap,CCL,519600,CCL
C E Info Systems Ltd.,Small Cap,MAPMYINDIA,543425,MAPMYINDIA
C E S C Ltd.,Small Cap,CESC,500084,CESC
C G Power & Indl. Solutions Ltd.,Large Cap,CGPOWER,500093,CGPOWER
C I E Automotive India Ltd.,Small Cap,CIEINDIA,532756,CIEINDIA
C M S Info Systems Ltd.,Micro Cap,CMSINFO,543441,CMSINFO
C S B Bank Ltd.,Micro Cap,CSBBANK,542867,CSBBANK
Campus Activewear Ltd.,Micro Cap,CAMPUS,543523,CAMPUS
Can Fin Homes Ltd.,Small Cap,CANFINHOME,511196,CANFINHOME
Canara Bank,Large Cap,CANBK,532483,CANBK
Canara H S B C Life Insurance Co. Ltd.,Small Cap,CANHLIFE,544583,CANHLIFE
Canara Robeco Asset Mgmt. Co. Ltd.,Micro Cap,CRAMC,544580,CRAMC
Capillary Technologies India Ltd.,Micro Cap,CAPILLARY,544614,CAPILLARY
Caplin Point Laboratories Ltd.,Small Cap,CAPLIPOINT,524742,CAPLIPOINT
Capri Global Capital Ltd.,Small Cap,CGCL,531595,CGCL
Carborundum Universal Ltd.,Small Cap,CARBORUNIV,513375,CARBORUNIV
Cartrade Tech Ltd.,Small Cap,CARTRADE,543333,CARTRADE
Castrol India Ltd.,Small Cap,CASTROLIND,500870,CASTROLIND
Ceat Ltd.,Small Cap,CEATLTD,500878,CEATLTD
Cello World Ltd.,Micro Cap,CELLO,544012,CELLO
Cemindia Projects Ltd.,Small Cap,CEMPRO,509496,CEMPRO
Central Bank Of India Ltd.,Small Cap,CENTRALBK,532885,CENTRALBK
Central Depository Services (India) Ltd.,Small Cap,CDSL,,
Century Plyboards (India) Ltd.,Micro Cap,CENTURYPLY,532548,CENTURYPLY
Cera Sanitaryware Ltd.,Micro Cap,CERA,532443,CERA
Chalet Hotels Ltd.,Small Cap,CHALET,542399,CHALET
Chambal Fertilisers & Chemicals Ltd.,Small Cap,CHAMBLFERT,500085,CHAMBLFERT
Chennai Petroleum Corpn. Ltd.,Small Cap,CHENNPETRO,500110,CHENNPETRO
Choice International Ltd.,Small Cap,CHOICEIN,531358,CHOICEIN
Cholamandalam Financial Holdings Ltd.,Small Cap,CHOLAHLDNG,504973,CHOLAHLDNG
Cholamandalam Investment & Finance Co. Ltd.,Large Cap,CHOLAFIN,511243,CHOLAFIN
Cipla Ltd.,Large Cap,CIPLA,500087,CIPLA
City Union Bank Ltd.,Small Cap,CUB,532210,CUB
Clean Science & Technology Ltd.,Small Cap,CLEAN,543318,CLEAN
Coal India Ltd.,Large Cap,COALINDIA,533278,COALINDIA
Cochin Shipyard Ltd.,Mid Cap,COCHINSHIP,540678,COCHINSHIP
Coforge Ltd.,Mid Cap,COFORGE,532541,COFORGE
Cohance Lifesciences Ltd.,Small Cap,COHANCE,543064,COHANCE
Colgate-Palmolive (India) Ltd.,Mid Cap,COLPAL,500830,COLPAL
Computer Age Mgmt. Services Ltd.,Small Cap,CAMS,543232,CAMS
Concord Biotech Ltd.,Small Cap,CONCORDBIO,543960,CONCORDBIO
Container Corpn. Of India Ltd.,Mid Cap,CONCOR,531344,CONCOR
Coromandel International Ltd.,Mid Cap,COROMANDEL,506395,COROMANDEL
Corona Remedies Ltd.,Micro Cap,CORONA,544644,CORONA
Craftsman Automation Ltd.,Small Cap,CRAFTSMAN,543276,CRAFTSMAN
Creditaccess Grameen Ltd.,Small Cap,CREDITACC,541770,CREDITACC
Crisil Ltd.,Mid Cap,CRISIL,500092,CRISIL
Crizac Ltd.,Micro Cap,CRIZAC,544439,CRIZAC
Crompton Greaves Consumer Electricals Ltd.,Small Cap,CROMPTON,539876,CROMPTON
Cummins India Ltd.,Large Cap,CUMMINSIND,500480,CUMMINSIND
Cupid Ltd.,Micro Cap,CUPID,530843,CUPID
Cyient Ltd.,Small Cap,CYIENT,532175,CYIENT
D C B Bank Ltd.,Micro Cap,DCBBANK,532772,DCBBANK
D C M Shriram Ltd.,Small Cap,DCMSHRIRAM,523367,DCMSHRIRAM
D L F Ltd.,Large Cap,DLF,532868,DLF
Dabur India Ltd.,Mid Cap,DABUR,500096,DABUR
Dalmia Bharat Ltd.,Mid Cap,DALBHARAT,542216,DALBHARAT
Data Patterns (India) Ltd.,Small Cap,DATAPATTNS,543428,DATAPATTNS
Datamatics Global Services Ltd.,Micro Cap,DATAMATICS,532528,DATAMATICS
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,Small Cap,DEEPAKFERT,500645,DEEPAKFERT
Deepak Nitrite Ltd.,Small Cap,DEEPAKNTR,506401,DEEPAKNTR
Delhivery Ltd.,Small Cap,DELHIVERY,543529,DELHIVERY
Devyani International Ltd.,Small Cap,DEVYANI,543330,DEVYANI
Diamond Power Infrastructure Ltd.,Micro Cap,DIACABS,522163,DIACABS
Dilip Buildcon Ltd.,Micro Cap,DBL,540047,DBL
Divi'S Laboratories Ltd.,Large Cap,DIVISLAB,532488,DIVISLAB
Dixon Technologies (India) Ltd.,Mid Cap,DIXON,540699,DIXON
Doms Industries Ltd.,Small Cap,DOMS,544045,DOMS
Dr. Agarwal'S Health Care Ltd.,Micro Cap,AGARWALEYE,544350,AGARWALEYE
Dr. Lal Pathlabs Ltd.,Small Cap,LALPATHLAB,539524,LALPATHLAB
Dr. Reddy'S Laboratories Ltd.,Large Cap,DRREDDY,500124,DRREDDY
Dynamatic Technologies Ltd.,Micro Cap,DYNAMATECH,505242,DYNAMATECH
E I D-Parry (India) Ltd.,Small Cap,EIDPARRY,500125,EIDPARRY
E I H Ltd.,Small Cap,EIHOTEL,500840,EIHOTEL
E P L Ltd.,Micro Cap,EPL,500135,EPL
Eclerx Services Ltd.,Small Cap,ECLERX,532927,ECLERX
Edelweiss Financial Services Ltd.,Micro Cap,EDELWEISS,532922,EDELWEISS
Eicher Motors Ltd.,Large Cap,EICHERMOT,505200,EICHERMOT
Elecon Engineering Co. Ltd.,Small Cap,ELECON,505700,ELECON
Electronics Mart India Ltd.,Micro Cap,EMIL,543626,EMIL
Electrosteel Castings Ltd.,Micro Cap,ELECTCAST,500128,ELECTCAST
Elgi Equipments Ltd.,Small Cap,ELGIEQUIP,522074,ELGIEQUIP
Ellenbarrie Industrial Gases Ltd.,Micro Cap,ELLEN,544421,ELLEN
Emami Ltd.,Small Cap,EMAMILTD,531162,EMAMILTD
Embassy Developments Ltd.,Micro Cap,EMBDL,532832,EMBDL
Emcure Pharmaceuticals Ltd.,Small Cap,EMCURE,544210,EMCURE
Emmvee Photovoltaic Power Ltd.,Small Cap,EMMVEE,544608,EMMVEE
Endurance Technologies Ltd.,Mid Cap,ENDURANCE,540153,ENDURANCE
Engineers India Ltd.,Small Cap,ENGINERSIN,532178,ENGINERSIN
Entero Healthcare Solutions Ltd.,Micro Cap,ENTERO,544122,ENTERO
Enviro Infra Engineers Ltd.,Micro Cap,EIEL,544290,EIEL
Equitas Small Finance Bank Ltd.,Micro Cap,EQUITASBNK,543243,EQUITASBNK
Eris Lifesciences Ltd.,Small Cap,ERIS,540596,ERIS
Escorts Kubota Ltd.,Mid Cap,ESCORTS,500495,ESCORTS
Eternal Ltd.,Large Cap,ETERNAL,543320,ETERNAL
Ethos Ltd.,Micro Cap,ETHOSLTD,543532,ETHOSLTD
Eureka Forbes Ltd.,Micro Cap,EUREKAFORB,543482,EUREKAFORB
Exide Industries Ltd.,Mid Cap,EXIDEIND,500086,EXIDEIND
F S N E-Commerce Ventures Ltd.,Mid Cap,NYKAA,543384,NYKAA
Fedbank Financial Services Ltd.,Micro Cap,FEDFINA,544027,FEDFINA
Federal Bank Ltd.,Mid Cap,FEDERALBNK,500469,FEDERALBNK
"Fertilisers & Chemicals, Travancore Ltd.",Small Cap,FACT,590024,FACT
Fiem Industries Ltd.,Micro Cap,FIEMIND,532768,FIEMIND
Finolex Cables Ltd.,Small Cap,FINCABLES,500144,FINCABLES
Finolex Industries Ltd.,Micro Cap,FINPIPE,500940,FINPIPE
Firstsource Solutions Ltd.,Small Cap,FSL,532809,FSL
Five-Star Business Finance Ltd.,Small Cap,FIVESTAR,543663,FIVESTAR
Force Motors Ltd.,Small Cap,FORCEMOT,500033,FORCEMOT
Fortis Healthcare Ltd.,Mid Cap,FORTIS,532843,FORTIS
Fujiyama Power Systems Ltd.,Micro Cap,UTLSOLAR,544613,UTLSOLAR
G A I L (India) Ltd.,Large Cap,GAIL,532155,GAIL
G E Vernova T & D India Ltd.,Mid Cap,GVT&D,522275,GVT&D
G H C L Ltd.,Micro Cap,GHCL,500171,GHCL
G M M Pfaudler Ltd.,Micro Cap,GMMPFAUDLR,505255,GMMPFAUDLR
G M R Airports Ltd.,Mid Cap,GMRAIRPORT,532754,GMRAIRPORT
G M R Power & Urban Infra Ltd.,Micro Cap,GMRP&UI,543490,GMRP&UI
Gabriel India Ltd.,Small Cap,GABRIEL,505714,GABRIEL
Gallantt Ispat Ltd.,Small Cap,GALLANTT,532726,GALLANTT
Garden Reach Shipbuilders & Engineers Ltd.,Small Cap,GRSE,542011,GRSE
Garware Hi-Tech Films Ltd.,Micro Cap,GRWRHITECH,500655,GRWRHITECH
General Insurance Corpn. Of India,Mid Cap,GICRE,540755,GICRE
Gillette India Ltd.,Small Cap,GILLETTE,507815,GILLETTE
Gland Pharma Ltd.,Small Cap,GLAND,543245,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,Mid Cap,GLAXO,500660,GLAXO
Glenmark Pharmaceuticals Ltd.,Mid Cap,GLENMARK,532296,GLENMARK
Global Health Ltd.,Mid Cap,MEDANTA,543654,MEDANTA
Go Digit General Insurance Ltd.,Small Cap,GODIGIT,544179,GODIGIT
Godawari Power & Ispat Ltd.,Small Cap,GPIL,532734,GPIL
Godfrey Phillips India Ltd.,Mid Cap,GODFRYPHLP,500163,GODFRYPHLP
Godrej Agrovet Ltd.,Micro Cap,GODREJAGRO,540743,GODREJAGRO
Godrej Consumer Products Ltd.,Large Cap,GODREJCP,532424,GODREJCP
Godrej Industries Ltd.,Mid Cap,GODREJIND,500164,GODREJIND
Godrej Properties Ltd.,Mid Cap,GODREJPROP,533150,GODREJPROP
Gokaldas Exports Ltd.,Micro Cap,GOKEX,532630,GOKEX
Gokul Agro Resources Ltd.,Micro Cap,GOKULAGRO,539725,GOKULAGRO
Granules India Ltd.,Small Cap,GRANULES,532482,GRANULES
Graphite India Ltd.,Small Cap,GRAPHITE,509488,GRAPHITE
Grasim Industries Ltd.,Large Cap,GRASIM,500300,GRASIM
Gravita India Ltd.,Small Cap,GRAVITA,533282,GRAVITA
Great Eastern Shipping Co. Ltd.,Small Cap,GESHIP,500620,GESHIP
Greaves Cotton Ltd.,Micro Cap,GREAVESCOT,501455,GREAVESCOT
Grindwell Norton Ltd.,Micro Cap,GRINDWELL,506076,GRINDWELL
Gujarat Ambuja Exports Ltd.,Micro Cap,GAEL,524226,GAEL
Gujarat Fluorochemicals Ltd.,Mid Cap,FLUOROCHEM,542812,FLUOROCHEM
Gujarat Mineral Devp. Corpn. Ltd.,Small Cap,GMDCLTD,532181,GMDCLTD
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Micro Cap,GNFC,500670,GNFC
Gujarat Pipavav Port Ltd.,Micro Cap,GPPL,533248,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,Micro Cap,GSFC,500690,GSFC
H B L Engineering Ltd.,Small Cap,HBLENGINE,517271,HBLENGINE
H C L Technologies Ltd.,Large Cap,HCLTECH,532281,HCLTECH
H D B Financial Services Ltd.,Mid Cap,HDBFS,544429,HDBFS
H D F C Asset Mgmt. Co. Ltd.,Large Cap,HDFCAMC,541729,HDFCAMC
H D F C Bank Ltd.,Large Cap,HDFCBANK,500180,HDFCBANK
H D F C Life Insurance Co. Ltd.,Large Cap,HDFCLIFE,540777,HDFCLIFE
H E G Ltd.,Small Cap,HEG,509631,HEG
H F C L Ltd.,Small Cap,HFCL,500183,HFCL
H G Infra Engg. Ltd.,Micro Cap,HGINFRA,541019,HGINFRA
Happiest Minds Technologies Ltd.,Micro Cap,HAPPSTMNDS,543227,HAPPSTMNDS
Havells India Ltd.,Mid Cap,HAVELLS,517354,HAVELLS
Healthcare Global Enterprises Ltd.,Micro Cap,HCG,539787,HCG
Hemisphere Properties India Ltd.,Micro Cap,HEMIPROP,543242,HEMIPROP
Heritage Foods Ltd.,Micro Cap,HERITGFOOD,519552,HERITGFOOD
Hero Motocorp Ltd.,Mid Cap,HEROMOTOCO,500182,HEROMOTOCO
Hexaware Technologies Ltd.,Mid Cap,HEXT,544362,HEXT
Himadri Speciality Chemical Ltd.,Small Cap,HSCL,500184,HSCL
Hindalco Industries Ltd.,Large Cap,HINDALCO,500440,HINDALCO
Hindustan Aeronautics Ltd.,Large Cap,HAL,541154,HAL
Hindustan Construction Co. Ltd.,Micro Cap,HCC,500185,HCC
Hindustan Copper Ltd.,Small Cap,HINDCOPPER,513599,HINDCOPPER
Hindustan Petroleum Corpn. Ltd.,Mid Cap,HINDPETRO,500104,HINDPETRO
Hindustan Unilever Ltd.,Large Cap,HINDUNILVR,500696,HINDUNILVR
Hindustan Zinc Ltd.,Large Cap,HINDZINC,500188,HINDZINC
Hitachi Energy India Ltd.,Mid Cap,POWERINDIA,543187,POWERINDIA
Home First Finance Co. India Ltd.,Small Cap,HOMEFIRST,543259,HOMEFIRST
Honasa Consumer Ltd.,Small Cap,HONASA,544014,HONASA
Honeywell Automation India Ltd.,Mid Cap,HONAUT,517174,HONAUT
Housing & Urban Devp. Corpn. Ltd.,Mid Cap,HUDCO,540530,HUDCO
Hyundai Motor India Ltd.,Large Cap,HYUNDAI,544274,HYUNDAI
I C I C I Bank Ltd.,Large Cap,ICICIBANK,532174,ICICIBANK
I C I C I Lombard General Insurance Co. Ltd.,Mid Cap,ICICIGI,540716,ICICIGI
