symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
ABBOTINDIA,Sep 2023,1494,313,147.27,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Dec 2023,1437,311,146.35,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Mar 2024,1439,287,135.09,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Jun 2024,1558,328,154.36,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Sep 2024,1633,359,168.76,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Dec 2024,1614,361,169.78,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Mar 2025,1605,367,172.73,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Jun 2025,1738,366,172.18,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Sep 2025,1757,415,195.43,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Dec 2025,1724,376,176.93,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Mar 2026,1710,395,185.86,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABBOTINDIA,Jun 2026,1814,429,201.66,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
ABCAPITAL,Jun 2023,9,1,0.00,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Sep 2023,134,91,0.35,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Dec 2023,48,26,0.10,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
ABCAPITAL,Mar 2024,4139,1182,4.55,https://www.screener.in/company/ABCAPITAL/,2026-08-16T07:14:15
